113231_ "Separation-Union"
113232_ "Whole-Parts"


113233 "Fundamental Theorem of Calculus"
113233_ "Differentiation-Integration"
1132331 "Inverse Operations"
1132331_ "Action-Reaction"
11323311 "Derivative of an Integral"
11323312 "Integral of a Derivative"
11323313 "Antiderivative"
1132332 "Evaluation of Integrals"
1132332_ "Bound-Unbound"
11323321 "Definite Integral"
11323322 "Indefinite Integral"
11323323 "Limits of Integration"
1132333 "Applications"
1132333_ "Theory-Practice"
11323331 "Area Under a Curve"
11323332 "Accumulated Change"
11323333 "Physical Interpretations"




User
and please dive deeper into each
ChatGPT
Certainly! Here's a deeper dive into each of the subtopics:

113233 "Fundamental Theorem of Calculus"
113233_ "Differentiation-Integration"
1132331 "Inverse Operations"
1132331_ "Action-Reaction"
11323311 "Derivative of an Integral"
11323311_ "Start-End"
113233111 "Variable Upper Limit"
113233112 "Variable Lower Limit"
113233113 "Constant Limits"
11323312 "Integral of a Derivative"
11323312_ "Reconstruction-Deconstruction"
113233121 "Recovering Original Function"
113233122 "Effect of Constants"
113233123 "Integration Techniques"
11323313 "Antiderivative"
11323313_ "Before-After"
113233131 "Primitive Functions"
113233132 "Integration Rules"
113233133 "Integration by Parts"

1132332 "Evaluation of Integrals"
1132332_ "Bound-Unbound"
11323321 "Definite Integral"
11323321_ "Fixed-Variable"
113233211 "Interval Evaluation"
113233212 "Net Area"
113233213 "Signed Area"
11323322 "Indefinite Integral"
11323322_ "General-Specific"
113233221 "Family of Functions"
113233222 "Integration Constants"
113233223 "General Solutions"
11323323 "Limits of Integration"
11323323_ "Start-End"
113233231 "Finite Limits"
113233232 "Infinite Limits"
113233233 "Improper Integrals"

1132333 "Applications"
1132333_ "Theory-Practice"
11323331 "Area Under a Curve"
11323331_ "Above-Below"
113233311 "Positive Regions"
113233312 "Negative Regions"
113233313 "Net Area Calculation"
11323332 "Accumulated Change"
11323332_ "Increment-Decrement"
113233321 "Velocity to Displacement"
113233322 "Rate to Quantity"
113233323 "Growth Models"
11323333 "Physical Interpretations"
11323333_ "Abstract-Concrete"
113233331 "Work Done"
113233332 "Center of Mass"
113233333 "Fluid Dynamics"

113233131 "Primitive Functions"
113233131_ "Origin-Derivation"
1132331311 "Power Functions"
1132331311_ "Linear-Exponential"
11323313111 "Linear Functions"
11323313112 "Polynomial Functions"
11323313113 "Exponential Functions"
1132331312 "Trigonometric Functions"
1132331312_ "Cycle-Phase"
11323313121 "Sine and Cosine"
11323313122 "Tangent and Cotangent"
11323313123 "Secant and Cosecant"
1132331313 "Logarithmic Functions"
1132331313_ "Base-Exponent"
11323313131 "Natural Logarithm"
11323313132 "Common Logarithm"
11323313133 "Change of Base"

113233132 "Integration Rules"
113233132_ "Procedure-Outcome"
1132331321 "Power Rule"
1132331321_ "Increase-Decrease"
11323313211 "Positive Powers"
11323313212 "Negative Powers"
11323313213 "Fractional Powers"
1132331322 "Trigonometric Rules"
1132331322_ "Angle-Amplitude"
11323313221 "Integration of Sine"
11323313222 "Integration of Cosine"
11323313223 "Integration of Tangent"
1132331323 "Exponential Rules"
1132331323_ "Growth-Decay"
11323313231 "Base e"
11323313232 "Other Bases"
11323313233 "Exponential Substitution"

113233133 "Integration by Parts"
113233133_ "Segment-Whole"
1132331331 "Formula Derivation"
1132331331_ "Start-Finish"
11323313311 "Product Rule for Differentiation"
11323313312 "Rearrangement"
11323313313 "Integral Formulation"
1132331332 "Choosing u and dv"
1132331332_ "Priority-Secondary"
11323313321 "LIATE Rule"
11323313322 "Effectiveness of Choices"
11323313323 "Reduction Formulas"
1132331333 "Repeated Application"
1132331333_ "Cycle-Completion"
11323313331 "Tabular Integration"
11323313332 "Reduction in Complexity"
11323313333 "Special Cases"
