be,['not to be']
not being able,['not to be able']
be,['nothing']
exponent,['root']
'(usually followed by `to') having the necessary means or skill or know-how or authority to do something' – able to swim · she was able to program her computer · we were at last able to buy a car · able to get a grant for the project,"[""'(usually followed by `to') not having the necessary means or skill or know-how' – unable to get to town without a car · unable to obtain funds""]"
able,['unable']
'(usually followed by `to') not having the necessary means or skill or know-how' – unable to get to town without a car · unable to obtain funds,"[""'(usually followed by `to') having the necessary means or skill or know-how or authority to do something' – able to swim · she was able to program her computer · we were at last able to buy a car · able to get a grant for the project""]"
unable,['able']
'facing away from the axis of an organ or organism' – the abaxial surface of a leaf is the underside or side facing away from the stem,"[""'nearest to or facing toward the axis of an organ or organism' – the upper side of a leaf is known as the adaxial surface""]"
abaxial,['adaxial']
'nearest to or facing toward the axis of an organ or organism' – the upper side of a leaf is known as the adaxial surface,"[""'facing away from the axis of an organ or organism' – the abaxial surface of a leaf is the underside or side facing away from the stem""]"
adaxial,['abaxial']
'facing or on the side toward the apex' – ,"[""'facing or on the side toward the base' – ""]"
acroscopic,['basiscopic']
'facing or on the side toward the base' – ,"[""'facing or on the side toward the apex' – ""]"
basiscopic,['acroscopic']
'especially of muscles; drawing away from the midline of the body or from an adjacent part' – ,"[""'especially of muscles; bringing together or drawing toward the midline of the body or toward an adjacent part' – ""]"
abducent,['adducent']
'especially of muscles; bringing together or drawing toward the midline of the body or toward an adjacent part' – ,"[""'especially of muscles; drawing away from the midline of the body or from an adjacent part' – ""]"
adducent,['abducent']
'being born or beginning' – the nascent chicks · a nascent insurgency,"[""'in or associated with the process of passing from life or ceasing to be' – a dying man · his dying wish · a dying fire · a dying civilization""]"
nascent,['dying']
'in or associated with the process of passing from life or ceasing to be' – a dying man · his dying wish · a dying fire · a dying civilization,"[""'being born or beginning' – the nascent chicks · a nascent insurgency""]"
dying,['nascent']
'(used of texts) shortened by condensing or rewriting' – an abridged version,"[""'(used of texts) not shortened' – an unabridged novel""]"
abridged,['unabridged']
'(used of texts) not shortened' – an unabridged novel,"[""'(used of texts) shortened by condensing or rewriting' – an abridged version""]"
unabridged,['abridged']
'perfect or complete or pure' – absolute loyalty · absolute silence · absolute truth · absolute alcohol,"[""'estimated by comparison; not absolute or complete' – a relative stranger""]"
absolute,['relative']
'estimated by comparison; not absolute or complete' – a relative stranger,"[""'perfect or complete or pure' – absolute loyalty · absolute silence · absolute truth · absolute alcohol""]"
relative,['absolute']
'having power or capacity or tendency to absorb or soak up something (liquids or energy etc.)' – as absorbent as a sponge,"[""'not capable of absorbing or soaking up (liquids)' – ""]"
absorbent,['nonabsorbent']
'not capable of absorbing or soaking up (liquids)' – ,"[""'having power or capacity or tendency to absorb or soak up something (liquids or energy etc.)' – as absorbent as a sponge""]"
nonabsorbent,['absorbent']
'having capacity or tendency to adsorb or cause to accumulate on a surface' – ,"[""'lacking a capacity to adsorb or cause to accumulate on a surface' – ""]"
adsorbent,['nonadsorbent']
'lacking a capacity to adsorb or cause to accumulate on a surface' – ,"[""'having capacity or tendency to adsorb or cause to accumulate on a surface' – ""]"
nonadsorbent,['adsorbent']
'capable of being absorbed or taken in through the pores of a surface' – ,"[""'capable of being adsorbed or accumulated on a surface of a solid' – ""]"
absorbable,['adsorbable']
'capable of being adsorbed or accumulated on a surface of a solid' – ,"[""'capable of being absorbed or taken in through the pores of a surface' – ""]"
adsorbable,['absorbable']
"'sparing in consumption of especially food and drink; - John Galsworthy' – the pleasures of the table, never of much consequence to one naturally abstemious","[""'given to excess in consumption of especially food or drink' – over-fed women and their gluttonous husbands · a gluttonous debauch · a gluttonous appetite for food and praise and pleasure""]"
abstemious,['gluttonous']
'given to excess in consumption of especially food or drink' – over-fed women and their gluttonous husbands · a gluttonous debauch · a gluttonous appetite for food and praise and pleasure,"[""'sparing in consumption of especially food and drink; - John Galsworthy' – the pleasures of the table, never of much consequence to one naturally abstemious""]"
gluttonous,['abstemious']
'existing only in the mind; separated from embodiment' – abstract words like `truth' and `justice',"[""'capable of being perceived by the senses; not abstract or imaginary' – concrete objects such as trees""]"
abstract,['concrete']
'capable of being perceived by the senses; not abstract or imaginary' – concrete objects such as trees,"[""'existing only in the mind; separated from embodiment' – abstract words like `truth' and `justice'""]"
concrete,['abstract']
'present in great quantity' – an abundant supply of water,"[""'deficient in quantity or number compared with the demand' – fresh vegetables were scarce during the drought""]"
abundant,['scarce']
'deficient in quantity or number compared with the demand' – fresh vegetables were scarce during the drought,"[""'present in great quantity' – an abundant supply of water""]"
scarce,['abundant']
'subjected to cruel treatment' – an abused wife,"[""'not physically abused; treated properly' – ""]"
abused,['unabused']
'not physically abused; treated properly' – ,"[""'subjected to cruel treatment' – an abused wife""]"
unabused,['abused']
'worthy of acceptance or satisfactory' – acceptable levels of radiation · performances varied from acceptable to excellent,"[""'not acceptable; not welcome' – a word unacceptable in polite society · an unacceptable violation of personal freedom""]"
