an entity that has physical existence,"['any entity that produces an effect or is responsible for events or results', 'that which has mass and occupies space', 'a tangible and visible entity; an entity that can cast a shadow', 'a sustained phenomenon or one marked by gradual changes through a series of states', 'material of a particular kind or constitution', 'a separate and self-contained entity']"
a general concept formed by extracting common features from specific examples,"['an abstraction belonging to or characteristic of an entity', 'something that is communicated by or to or between people or groups', 'any number of entities (members) considered as a unit', 'how much there is or how many there are of something that you can quantify', 'an abstract spiritual world beyond earthly reality', 'a feature of the mental life of a living organism', 'an abstraction belonging to or characteristic of two entities or parts together', '(mathematics) an abstract collection of numbers or symbols']"
a separate and self-contained entity,"[""the part of the earth's surface covered with water (such as a river or lake or ocean)"", 'anything that is not essential', 'anything indispensable', 'a portion of a natural object', 'anything (a person or animal or plant or substance) in which an infectious agent normally lives and multiplies', 'something (a person or object or scene) selected by an artist or photographer for graphic representation', 'a single undivided natural thing occurring in the composition of something else', 'something that is likely to vary; something that is subject to variation']"
a tangible and visible entity; an entity that can cast a shadow,"['anything that is caught (especially if it is worth catching)', 'something believed to bring good luck', 'an object (such as a coin or postage stamp) made to mark an event or honor a person', 'something unusual -- perhaps worthy of collecting', 'anything that is cast aside or discarded', 'anything (straws or pebbles etc.) taken or chosen at random', 'a thin coating or layer', 'something that is found', 'an object that floats or is capable of floating', 'any inanimate object (as a towel or money or clothing or dishes or books or toys etc.) that can transmit infectious agents from one person to another', '(geology) the geological features of the earth', 'something grown or growing', 'many objects thrown forcefully through the air', 'a rounded compact mass', 'something believed to bring bad luck', 'the frozen part of a body of water', 'something indescribable', 'something of sentimental value', 'material in the top layer of the surface of the earth in which plants can grow (especially with reference to its quality or use)', ""the solid part of the earth's surface"", 'a point or extent in space', 'anything added to fill out a whole', 'any object resembling a moon', 'a nearby object of the same kind', '(usually plural) a part of a fruit or vegetable that is pared or cut off; especially the skin or peel', 'something less than the whole of a human artifact', 'any movable articles or objects used on the set of a play or movie', 'any object that is left unused or still extant', 'any long object resembling a thin line', 'something that shines (with emitted or reflected light)', 'something long, thin, and flexible that resembles a snake', 'miscellaneous unspecified objects', 'something of small importance', 'anything that resembles a vagabond in having no fixed place', 'anything that suggests a wall in structure or function or effect', 'an intricate network suggesting something that was formed by weaving or interweaving', 'an assemblage of parts that is regarded as a single entity']"
an assemblage of parts that is regarded as a single entity,"['a man-made object taken as a whole', 'a unit consisting of components that have been fitted together', 'a whole (a thing or person) of the same kind or category as another', 'a whole individual unit; especially when included in a list or collection', 'a living (or once living) entity', 'an object occurring naturally; not made by man', 'the whole amount']"
a living (or once living) entity,"['a discrete unit of living matter', '(biology) the basic structural and functional unit of all organisms; they may exist as independent units of life (as in monads) or may form colonies or tissues as in higher plants and animals', 'living things collectively', 'a living thing that has (or can develop) the ability to act or function independently']"
a living thing that has (or can develop) the ability to act or function independently,"['an organism (especially a bacterium) that requires air or free oxygen for life', '(genetics) an organism or cell having a diploid set of chromosomes from each parent', 'an organism (especially a bacterium) that does not require air or free oxygen to live', 'a living organism characterized by voluntary movement', 'microscopic organism such as an amoeba or paramecium', 'an organism that has the characteristics of a more primitive type of that organism', 'organisms (plants and animals) that live at or near the bottom of a sea', '(genetics) an organism that possesses a recessive gene whose effect is masked by a dominant allele; the associated trait is not apparent but can be passed on to offspring', 'a group of genetically identical cells or organisms derived from a single cell or individual by some kind of asexual reproduction', 'either of two different animal or plant species living in close association but not interdependent', 'an organism belonging to the same species as another organism', 'a plant or animal naturalized in a region', '(genetics) an organism or cell having the normal amount of DNA per cell; i.e., two sets of chromosomes or twice the haploid number', 'a plant or animal that is atypically small', ""an organism with cells characteristic of all life forms except primitive microorganisms such as bacteria; i.e. an organism with `good' or membrane-bound nuclei in its cells"", 'an organism of the kingdom Fungi lacking chlorophyll and feeding on organic matter; ranging from unicellular or multicellular organisms to spore-bearing syncytia', '(genetics) an organism or cell having only one complete set of chromosomes', '(genetics) an organism or cell having a chromosome number that is not an even multiple of the haploid chromosome number for that species', 'an organism that depends on complex organic substances for nutrition', 'an animal or plant that nourishes and supports a parasite; it does not benefit and is often harmed by the association', '(genetics) an organism that is the offspring of genetically dissimilar parents or stock; especially offspring produced by breeding plants or animals of different varieties or breeds or species', 'a single organism', 'an organism that lives in an oxygenated medium lacking organic matter', 'a person or animal that is adopted by a team or other group as a symbolic figure', 'any organism of microscopic size', '(biology) an organism that has characteristics resulting from chromosomal alteration', 'an organism such as an insect that habitually shares the nest of a species of ant', 'indigenous plants and animals', 'the aggregate of actively swimming animals in a body of water ranging from microscopic organisms to whales', 'organisms without vascular tissue: e.g. algae, lichens, fungi, mosses', 'an animal or plant that lives in or on a host (another animal or plant); it obtains nourishment from the host without benefiting or killing the host', 'an organism (plant or animal) from which younger ones are obtained', 'a human being', 'the aggregate of small plant and animal organisms that float or drift in great numbers in fresh or salt water', '(botany) a living organism lacking the power of locomotion', 'an organism that can assume more than one adult form as in the castes of ants or termites', '(genetics) an organism or cell having more than twice the haploid number of chromosomes', ""anything living after Noah's flood"", 'a unicellular organism having cells lacking membrane-bound nuclei; bacteria are the prime example but also included are blue-green algae and actinomycetes and mycoplasma', 'a cell or organism in which genetic recombination has occurred', 'an animal or plant that bears a relationship to another (as related by common descent or by membership in the same genus)', 'an organism or species surviving as a remnant of an otherwise extinct flora or fauna in an environment much changed from that in which it originated', 'an organism that lives in and derives its nourishment from organic matter in stagnant or foul water', 'an organism that feeds on dead organic matter especially a fungus or bacterium', 'an organism (person or animal) that sits', 'an organism (person or animal) that stands', 'an organism that can utter vocal sounds', 'one of the distinct individuals forming a colonial animal such as a bryozoan or hydrozoan']"
(biology) the basic structural and functional unit of all organisms; they may exist as independent units of life (as in monads) or may form colonies or tissues as in higher plants and animals,"['a cell without a nucleus (as an erythrocyte)', 'primitive cell or group of cells from which a mother cell develops', 'a body that resembles a spore but is not an endospore; produced by some bacteria', 'one of a string of thick walled vegetative resting cells formed by some algae and fungi', 'a cell that produces insulin in the isles of Langerhans in the pancreas', 'a mass of undifferentiated cells from which an organ or body part develops', 'any cell resulting from cleavage of a fertilized egg', 'a cell formed by the division or budding of another cell', 'a cell of an embryo', 'any of several elongated, threadlike cells (especially a muscle fiber or a nerve fiber)', 'any cell or one-celled organism equipped with a flagellum', 'an immature animal or plant cell that develops into a gamete by meiosis', 'specialized cells in the liver that destroy bacteria, foreign proteins, and worn-out blood cells', 'a cell in the testes that secretes the hormone testosterone', 'cell from which another cell of an organism (usually of a different sort) develops', 'a cell resulting from parthenogenesis', 'a cell that is a structural and functional unit of a plant', 'a small cell containing little cytoplasm that is produced along with the oocyte and later discarded', 'a cell or organism in which genetic recombination has occurred', 'a spermatozoon or an ovum; a cell responsible for transmitting DNA to the next generation', 'elongated cells found in the seminiferous tubules of the testis; apparently they nourish the spermatids', 'any of the cells of a plant or animal except the reproductive cells; a cell that does not participate in the production of gametes', '(genetics) the diploid cell resulting from the union of a haploid spermatozoon and ovum (including the organism that develops from that cell)']"
any entity that produces an effect or is responsible for events or results,"['an active and efficient cause; capable of producing a certain effect', 'a substance that exerts some force or effect', 'something that causes an important event to happen', 'the causal agent resulting in death', 'a cause of pain or injury or loss', 'the ultimate agency regarded as predetermining the course of events (often personified as a woman)', 'any active agent who appears unexpectedly to solve an insoluble difficulty', 'something used to achieve a purpose', 'an agent that is the cause of all things but does not itself have a cause', 'a causal agent creating and controlling things in the universe', 'an agent that operates some apparatus or machine', 'a human being', 'one possessing or exercising power or influence or authority', 'supernatural forces and events and beings collectively', 'the effect of supernatural or divine intervention in human affairs', 'a hypothetical force to which the functions and qualities peculiar to living things are sometimes ascribed']"
a human being,"['a person who abates a nuisance', 'a person who abjures', 'a person who is loathsome or disgusting', 'a person who refrains from drinking intoxicating beverages', 'a person with a record of successes', 'a person with whom you are acquainted', 'a person who acquires something (usually permanently)', 'a person who is a participating member of an organization', 'a person who acts and gets things done', 'a person who studies and settles conflicts and disputes', 'a person who admires; someone who esteems or respects or approves', 'someone (such as a child) who has been adopted', 'a fully developed person from maturity onward', 'a person who enjoys taking risks', 'someone who offers opposition', 'someone who receives advice', 'a person who pleads for a cause or propounds an idea', 'a person who makes an affidavit', 'a native or inhabitant of Africa', 'someone who is doubtful or noncommittal about something', 'someone who pursues a study or sport as a pastime', 'any member of the peoples living in North or South America before the Europeans arrived', 'a person who lived in ancient times', 'a person who is unusual', 'a person who is opposed to the United States and its policies', 'a person who is opposed (to an action or policy or practice etc.)', 'a person who requests or seeks something such as assistance or employment or admission', 'a person who is appointed to a job or position', 'a person who is fully aware of something and understands it', 'a person who seizes or arrests (especially a person who seizes or arrests in the name of justice)', '(astrology) a person who is born while the sun is in Aquarius', 'a person who archaizes', '(astrology) a person who is born while the sun is in Aries', 'a person who through conceit makes pretentious claims to rights or advantages that he or she is not entitled to or to qualities that he or she does not possess', 'a person (or property) that is assessed', 'a person suffering from asthma', '(usually plural) persons who exercise (administrative) control over others', 'a person who has taught himself', 'a member of the baby boom generation in the 1950s', 'a person born in the generation following the baby boom when the birth rate fell dramatically', 'any person who is not on your side', 'a person who does harm to others', 'a person whose head is bald', 'a person who refuses to comply', 'a person who takes a bath', 'a person who diverts suspicion from someone (especially a woman who accompanies a male homosexual in order to conceal his homosexuality)', 'a person with whom you share a bed', 'a person who has suffered the death of someone they loved', 'the person who is most outstanding or excellent; someone who tops all others', 'a baby born; an offspring', 'someone who bites', 'a person with dark skin who comes from Africa (or whose ancestors came from Africa)', 'a person who keeps and updates a blog', 'a person with fair skin and hair', 'a person dressed all in blue (as a soldier or sailor)', 'someone who does special exercises to develop a brawny musculature', 'a person who plants bombs', 'a person with dark (brown) hair', 'someone who fights bulls', 'a person (or thing) that breaks up or overpowers something', '(astrology) a person who is born while the sun is in Cancer', 'someone who is considered for something (for an office or prize or honor etc.)', 'a person who invests capital in a business (especially a large business)', '(astrology) a person who is born while the sun is in Capricorn', 'a person who captures and holds people or animals', 'a person requiring professional services', 'a person responsible for receiving payments for goods and services (as in a shop or restaurant)', 'a person who is celebrating', 'someone who censures or condemns', 'a changeable or inconstant person', 'a person who changes something', 'a person who charms others (usually by personal attractiveness)', 'an immature childish person', '(Yiddish) a person characterized by chutzpa', 'a person who closes something', 'a person with poor motor coordination', 'a person who collects things', 'a person unable to distinguish differences in hue', 'someone who fights (or is fighting)', 'a person who holds no title', 'a person who communicates with others', 'someone makes things complex', 'a person with a compulsive disposition; someone who feels compelled to do certain things', 'a person who uses computers for work or entertainment or communication or business', 'a person devoted to the contemplative life', 'a person who participates in competitions', 'a person who has been converted to another religious or political belief', 'someone who copies the words or behavior of another', 'a person who counts things', 'someone who attempts to prevent terrorism', 'a person who shows fear or timidity', 'a person who crawls or creeps along the ground', 'a person who grows or makes or invents things', ""a human being; `wight' is an archaic term"", 'a person to whom money is owed by a debtor; someone to whom an obligation exists', 'someone who is unable to walk normally because of an injury or disability to the legs or back', 'a person who participates in a social gathering arranged for dancing (as a ball)', 'someone who is no longer alive', 'a person with a severe auditory impairment', 'a person who lowers the quality or character or value (as by adding cheaper metal to coins)', 'a person who owes a creditor; someone who has the obligation of paying a debt', 'a person who defecates', 'a person who delays; to put off until later or cause to be late', 'a person who gives up or transfers money or goods', 'a person who makes demands', 'a person who diets', 'a person who (or that which) differentiates', 'a person who removes tangles; someone who takes something out of a tangled state', 'a person who disputes; who is good at or enjoys controversy', 'a person who dissents from some established policy', 'a person who separates something into parts or groups', 'a person (not necessarily a spouse) with whom you cohabit and share a long-term sexual relationship', 'someone who closely resembles a famous person (especially an actor)', 'a person who dresses in a particular way', 'a person who dribbles', 'a person who takes drugs', 'a person who has dyslexia', 'a person with a thin body', 'one who brings about a result or event; one who accomplishes a purpose', 'a person who lived during the reign of Elizabeth I', 'a person subject to strong states of emotion', 'a heavy person with a soft and rounded body', 'a person who uses scientific knowledge to solve practical problems', 'a person who delights in having or using or experiencing something', 'a person who enrolls in (or is enrolled in) a class or course of study', 'a person who tries to please or amuse', 'a person who is a member of an ethnic group', 'a person who enjoys testing innovative ideas', 'a person with special knowledge or ability who performs skillfully', 'someone who travels into little known regions (especially for some scientific purpose)', '(psychology) a person concerned more with practical realities than with inner thoughts and feelings', 'a part of a person that is used to refer to a person', 'a person who subscribes to a variety of fads', 'a person who falls', 'a person who fastens or makes fast', 'a person who belongs to the sex that can have babies', 'a person who holds assets in trust for a beneficiary', 'one who is first-rate', 'a person who accepts the leadership of another', 'someone acting freely or even irresponsibly', 'a person you know well and regard with affection and trust', 'someone who flees from an uncongenial situation', 'a person who gains weight', 'a person who gains (gains an advantage or gains profits)', 'a person who wagers money on the outcome of games or sporting events', 'someone who controls access to something', 'a person who gathers', '(astrology) a person who is born while the sun is in Gemini', ""a person who is not a member of one's own religion; used in this sense by Mormons and Hindus"", 'any person who is on your side', 'a person who is good to other people', 'a person who grants or gives something', 'a person who greets', 'a person who grins', 'a person who groans', 'a person who grunts', 'a person who guesses', 'a person who has some condition that markedly restricts their ability to function physically or mentally or socially', 'a person who hates', 'a heterosexual person; someone having a sexual orientation to persons of the opposite sex', 'someone who practices homosexuality; having a sexual attraction to persons of the same sex', 'a tiny fully formed individual that (according to the discredited theory of preformation) is supposed to be present in the sperm cell', 'someone (or something) on which expectations are centered', 'a person who hopes', 'a person who crouches', 'a person who hugs', 'a person who is immune to a particular infection', 'a person who pursues independent thought or action', 'a person who inhabits a particular place', 'a person who lacks knowledge of evil', 'a person whose interests are protected by an insurance policy; a person who contracts for an insurance policy that indemnifies him against loss of property or life or health etc.', 'a person who uses the mind creatively', 'someone who uses art to represent something', '(psychology) a person who tends to shrink from social contacts and to become preoccupied with their own thoughts', 'a member of an Indo-European people widely scattered throughout the northwest of the Indian subcontinent and consisting of Muslims and Hindus and Sikhs', 'a person belonging to the worldwide group claiming descent from Jacob (or converted to it) and connected by cultural or religious ties', 'a person who is as brilliant and precious as a piece of jewelry', 'a person who jumps', 'the younger of two persons', 'a young person, not fully developed', 'someone who causes the death of a person or animal', 'a person with unusual sexual tastes', 'a person in a kneeling position', 'a person who knocks (as seeking to gain admittance)', 'a person who knows or apprehends', 'a person of greater than average size', 'a person who is a member of those peoples whose languages derived from Latin', 'a person who is laughing or who laughs easily', 'a person who rules or guides or inspires others', 'someone (especially a child) who learns (as from a teacher) or takes up knowledge or beliefs', 'a person who uses the left hand with greater skill than the right', '(astrology) a person who is born while the sun is in Leo', '(astrology) a person who is born while the sun is in Libra', 'a living person', 'someone who is a frequent target of negative reactions and serves to distract attention from another', 'a person who speaks more than one language', 'a person who can read and write', 'a person who has a special life style', 'a person with a strong desire for something', 'a person who is expected to perform a particular task but who is out of control and dangerous', 'a person who you love, usually a member of your family', 'a person who loves someone or is loved by someone', 'an efficient person', 'a person who mails something', 'a person who is discontented or disgusted', 'a person who belongs to the sex that cannot have babies', 'the generic use of the word to refer to any human being', 'a single individual', 'a person who handles things manually', 'a person who is married', 'a person who practices masturbation', 'a person who makes measurements', 'a person with a well-developed muscular body', 'a person of mixed racial ancestry (especially mixed European and Native American ancestry)', 'someone who is neither a highbrow nor a lowbrow', 'a person who claims or is alleged to perform miracles', 'a person who hates marriage', 'a person whose ancestors belonged to two or more races', 'a contemporary person', 'a person who receives or invests or pays out money', 'a person who knows only one language', 'a person who cares for the needs of others (especially in an overprotective or interfering way)', 'person who is quiet or timid', 'a person who mutilates or destroys or disfigures or cripples', 'a person who gives a name or names', 'a person with the same name as another', 'a person who owes allegiance to that nation', 'an indigenous person who was born in a particular place', 'a person born in a particular place or country', 'a person who is neglectful and gives little attention or respect to people or responsibilities', 'a person who lives (or is located) near another', 'one who does not side with any party in a war or dispute', 'a person is not easily classified and not very interesting', 'a person who is not a member', 'a person who does not participate', 'a person who is nonpartisan', 'a person regarded as nonexistent and having no rights; a person whose existence is systematically ignored (especially for ideological or political reasons)', 'a person who does not manifest devotion to a deity', 'someone who does not live in a particular place', 'a person who does not smoke tobacco', 'a person who does nothing', 'a naked person', 'a person who treats something carefully', 'a believer in occultism; someone versed in the occult arts', 'a person disposed to take a favorable view of things', 'someone or something who lacks support or care or supervision', 'a person who refuses to face reality or recognize the truth (a reference to the popular notion that the ostrich hides from danger by burying its head in the sand)', 'a person who ousts or supplants someone else', 'a person belonging to no caste', 'a person who spends time outdoors (e.g., hunting or fishing)', 'a person who owns something', 'someone who pampers or spoils by excessive indulgence', 'a person who participates in (or is open to) sexual activities of many kinds', 'a person who pardons or forgives or excuses a fault or offense', 'a person who is a member of a partnership', 'a person involved in legal proceedings', 'a person who passes as a member of a different ethnic or racial group', 'a person who is of equal standing with another in a group', 'a person who becomes aware (of things or events) through the senses', 'a person situated on a perch', '(formal) any non-European non-white person', 'another word for person; a person not meriting identification', 'a person who represents an abstract quality', 'a person who perspires', 'a wise person who is calm and rational; someone who lives a life of reason with equanimity', 'a person who chooses or selects out', '(astrology) a person who is born while the sun is in Pisces', 'a person who urinates', 'a person who makes plans', 'a person who pursues a number of different social and sexual partners simultaneously', 'someone who behaves in a manner calculated to impress or mislead others', 'someone who applies or scatters powder', 'a person who goes before or announces the coming of another', 'someone who keeps safe from harm or danger', 'a person who belongs to an early stage of civilization', 'the person immediately affected by or concerned with an action', 'a person employed to establish and promote a favorable relationship with the public', 'a person who pursues some plan or goal', 'a person who is regarded as easygoing and agreeable', 'an unspecified person', 'a person who gives up too easily', 'a person who has radical ideas or opinions', 'a person who accepts the world as it literally is and deals with it accordingly', 'a person who corrects or sets right', 'someone who has red hair', 'a person who is formally entered (along with others) in a register (and who obtains certain rights thereby)', 'a person related by blood or marriage', 'a person who reduces the intensity (e.g., of fears) and calms and pacifies', 'a person who manifests devotion to a deity', 'a person who repeats', 'someone who saves something from danger or violence', 'a person who rests', 'a person who directs and restrains', 'a person who returns after a lengthy absence', 'a person who possesses great material wealth', 'a person who uses the right hand more skillfully than the left', 'a person who rises (especially from bed)', 'a person who romps or frolics', 'a brachycephalic person', 'a person who rules or commands', 'a person who rushes; someone in a hurry; someone who acts precipitously', '(astrology) a person who is born while the sun is in Sagittarius', 'a person with advanced knowledge of one or more sciences', '(astrology) a person who is born while the sun is in Scorpio', 'a person who scratches to relieve an itch', 'a person of second-rate ability or value', 'a person who seeds clouds', 'someone making a search or inquiry', 'someone who is or has been segregated', 'a person considered as a unique individual', 'a person who enjoys sensuality', 'someone who indulges in excessive sentimentality', 'any person regarded simply as an object of sexual gratification', 'a person (especially a celebrity) who is well-known for their sexual attractiveness', 'a person who wields power and influence', 'a person skilled at making effective presentations', 'someone who signs and is bound by a document', 'a person lacking intelligence or common sense', 'a person who is at least six feet tall', 'a person who slips or slides because of loss of traction', 'any member of the people of eastern Europe or Asian Russia who speak a Slavonic language', 'a person who is owned by someone', 'someone entirely dominated by some influence or person', 'a sleepy person', 'a person who slouches; someone with a drooping carriage', 'a person of below average size', 'a person who smashes something', 'a person who smiles', 'a person who sneezes', 'a person who sniffs', 'a person who breathes audibly through a congested nose', 'a person who snuffs out candles', 'a person who breathes noisily (as through a nose blocked by mucus)', 'a person who takes part in social activities', 'a person of a particular character or nature', 'a person whose reactions to something serve as an indication of its acceptability', 'an inscrutable person who keeps his thoughts and intentions secret', 'a person who spits (ejects saliva or phlegm from the mouth)', 'a person known for the way she (or he) behaves when teased or defeated or subjected to trying circumstances', 'a person who sprawls', 'a person who rejects (someone or something) with contempt', 'a person with strabismus', 'a person who stifles or smothers or suppresses', 'a person whose body is marked by religious stigmata (such as marks resembling the wounds of the crucified Christ)', 'a person who carries himself or herself with the head and shoulders habitually bent forward', 'an individual that one is not acquainted with', 'a person who struggles with difficulties or with great effort', 'a person who is subjected to experimental or other observational procedures; someone who is an object of investigation', 'a person serving no apparent function', 'a person who yields or surrenders', 'someone who tries to insure their personal survival or the survival of their group or nation', 'one who outlives another', 'someone who is under suspicion', 'someone who assigns labels to the grammatical constituents of textual matter', 'someone who appends or joins one thing to another', 'a person who strikes a surface lightly and usually repeatedly', '(astrology) a person who is born while the sun is in Taurus', 'a person who tempts others', 'a person who serves a specified term', 'a person who inspires fear or dread', 'a person who makes a will', 'a person who is unusually thin and scrawny', 'one who is third-rate or distinctly inferior', 'someone who projects something (especially by a rapid motion of the arm)', 'a fierce or audacious person', 'a person who belongs to a clan or tribe having a totem', 'a person who causes or allows a part of the body to come in contact with someone or something', 'someone who transfers or is transferred from one position to another', 'a person whose sexual identification is entirely with the opposite sex', 'someone who adopts the dress or manner or sexual role of the opposite sex', 'a person who changes location', 'one who tries', 'one of two persons who swing ropes for jumpers to skip over in the game of jump rope', 'any person who exercises power in a cruel way', 'a person who unfastens or unwraps or opens', 'a person who suffers misfortune', 'a person who lacks technical training', 'a person who for some reason is not wanted or welcome', 'a person who makes use of a thing; someone who uses or employs something', 'a person who disappears', 'a person who is tricked or swindled', 'a person who lived during the reign of Victoria', '(astrology) a person who is born while the sun is in Virgo', 'a person given to fanciful speculations and enthusiasms with little regard for what is actually possible', 'someone who has inferior vision', 'a person who waits or awaits', 'a person who awakes', 'person who walks in without having an appointment', 'a person who wants or needs something', 'a person who is under the protection or in the custody of another', 'someone engaged in or experienced in warfare', 'a person who keeps a devotional vigil by a sick bed or by a dead body', 'a person who is physically weak and ineffectual', 'a person who is regarded as treacherous or sneaky', 'a member of the Caucasoid race', ""one who can't stay still (especially a child)"", 'a person who winks', 'a person who refrains from granting', '(law) a person who testifies under oath in a court of law', 'a person who works at a specific occupation', 'a person absorbed by the concerns and interests and pleasures of the present world', 'a person who yawns']"
